mutation_kernel,m1,m2,m3,m4,mutr,muta,mut,blank
0,0.25,0.25,0.25,0.25,0.0001,1.00E-08,1.00E-08,0
1,0.45,0.45,0.05,0.05,0.0001,1.00E-08,1.00E-08,0
2,0.49,0.49,0.01,0.01,0.0001,1.00E-08,1.00E-08,0
3,0.495,0.495,0.005,0.005,0.0001,1.00E-08,1.00E-08,0
4,0.499,0.499,0.001,0.001,0.0001,1.00E-08,1.00E-08,0
5,0.25,0.25,0.25,0.25,0.001,1.00E-07,1.00E-08,0
6,0.45,0.45,0.05,0.05,0.001,1.00E-07,1.00E-08,0
7,0.49,0.49,0.01,0.01,0.001,1.00E-07,1.00E-08,0
8,0.495,0.495,0.005,0.005,0.001,1.00E-07,1.00E-08,0
9,0.499,0.499,0.001,0.001,0.001,1.00E-07,1.00E-08,0
10,0.25,0.25,0.25,0.25,0.005,5.00E-07,1.00E-08,0
11,0.45,0.45,0.05,0.05,0.005,5.00E-07,1.00E-08,0
12,0.49,0.49,0.01,0.01,0.005,5.00E-07,1.00E-08,0
13,0.495,0.495,0.005,0.005,0.005,5.00E-07,1.00E-08,0
14,0.499,0.499,0.001,0.001,0.005,5.00E-07,1.00E-08,0
15,0.25,0.25,0.25,0.25,0.01,1.00E-06,1.00E-08,0
16,0.45,0.45,0.05,0.05,0.01,1.00E-06,1.00E-08,0
17,0.49,0.49,0.01,0.01,0.01,1.00E-06,1.00E-08,0
18,0.495,0.495,0.005,0.005,0.01,1.00E-06,1.00E-08,0
19,0.499,0.499,0.001,0.001,0.01,1.00E-06,1.00E-08,0
20,0.25,0.25,0.25,0.25,0.05,5.00E-06,1.00E-08,0
21,0.45,0.45,0.05,0.05,0.05,5.00E-06,1.00E-08,0
22,0.49,0.49,0.01,0.01,0.05,5.00E-06,1.00E-08,0
23,0.495,0.495,0.005,0.005,0.05,5.00E-06,1.00E-08,0
24,0.499,0.499,0.001,0.001,0.05,5.00E-06,1.00E-08,0
25,0.25,0.25,0.25,0.25,0.0001,1.00E-08,1.00E-07,0
26,0.45,0.45,0.05,0.05,0.0001,1.00E-08,1.00E-07,0
27,0.49,0.49,0.01,0.01,0.0001,1.00E-08,1.00E-07,0
28,0.495,0.495,0.005,0.005,0.0001,1.00E-08,1.00E-07,0
29,0.499,0.499,0.001,0.001,0.0001,1.00E-08,1.00E-07,0
30,0.25,0.25,0.25,0.25,0.001,1.00E-07,1.00E-07,0
31,0.45,0.45,0.05,0.05,0.001,1.00E-07,1.00E-07,0
32,0.49,0.49,0.01,0.01,0.001,1.00E-07,1.00E-07,0
33,0.495,0.495,0.005,0.005,0.001,1.00E-07,1.00E-07,0
34,0.499,0.499,0.001,0.001,0.001,1.00E-07,1.00E-07,0
35,0.25,0.25,0.25,0.25,0.005,5.00E-07,1.00E-07,0
36,0.45,0.45,0.05,0.05,0.005,5.00E-07,1.00E-07,0
37,0.49,0.49,0.01,0.01,0.005,5.00E-07,1.00E-07,0
38,0.495,0.495,0.005,0.005,0.005,5.00E-07,1.00E-07,0
39,0.499,0.499,0.001,0.001,0.005,5.00E-07,1.00E-07,0
40,0.25,0.25,0.25,0.25,0.01,1.00E-06,1.00E-07,0
41,0.45,0.45,0.05,0.05,0.01,1.00E-06,1.00E-07,0
42,0.49,0.49,0.01,0.01,0.01,1.00E-06,1.00E-07,0
43,0.495,0.495,0.005,0.005,0.01,1.00E-06,1.00E-07,0
44,0.499,0.499,0.001,0.001,0.01,1.00E-06,1.00E-07,0
45,0.25,0.25,0.25,0.25,0.05,5.00E-06,1.00E-07,0
46,0.45,0.45,0.05,0.05,0.05,5.00E-06,1.00E-07,0
47,0.49,0.49,0.01,0.01,0.05,5.00E-06,1.00E-07,0
48,0.495,0.495,0.005,0.005,0.05,5.00E-06,1.00E-07,0
49,0.499,0.499,0.001,0.001,0.05,5.00E-06,1.00E-07,0
50,0.25,0.25,0.25,0.25,0.0001,1.00E-08,1.00E-06,0
51,0.45,0.45,0.05,0.05,0.0001,1.00E-08,1.00E-06,0
52,0.49,0.49,0.01,0.01,0.0001,1.00E-08,1.00E-06,0
53,0.495,0.495,0.005,0.005,0.0001,1.00E-08,1.00E-06,0
54,0.499,0.499,0.001,0.001,0.0001,1.00E-08,1.00E-06,0
55,0.25,0.25,0.25,0.25,0.001,1.00E-07,1.00E-06,0
56,0.45,0.45,0.05,0.05,0.001,1.00E-07,1.00E-06,0
57,0.49,0.49,0.01,0.01,0.001,1.00E-07,1.00E-06,0
58,0.495,0.495,0.005,0.005,0.001,1.00E-07,1.00E-06,0
59,0.499,0.499,0.001,0.001,0.001,1.00E-07,1.00E-06,0
60,0.25,0.25,0.25,0.25,0.005,5.00E-07,1.00E-06,0
61,0.45,0.45,0.05,0.05,0.005,5.00E-07,1.00E-06,0
62,0.49,0.49,0.01,0.01,0.005,5.00E-07,1.00E-06,0
63,0.495,0.495,0.005,0.005,0.005,5.00E-07,1.00E-06,0
64,0.499,0.499,0.001,0.001,0.005,5.00E-07,1.00E-06,0
65,0.25,0.25,0.25,0.25,0.01,1.00E-06,1.00E-06,0
66,0.45,0.45,0.05,0.05,0.01,1.00E-06,1.00E-06,0
67,0.49,0.49,0.01,0.01,0.01,1.00E-06,1.00E-06,0
68,0.495,0.495,0.005,0.005,0.01,1.00E-06,1.00E-06,0
69,0.499,0.499,0.001,0.001,0.01,1.00E-06,1.00E-06,0
70,0.25,0.25,0.25,0.25,0.05,5.00E-06,1.00E-06,0
71,0.45,0.45,0.05,0.05,0.05,5.00E-06,1.00E-06,0
72,0.49,0.49,0.01,0.01,0.05,5.00E-06,1.00E-06,0
73,0.495,0.495,0.005,0.005,0.05,5.00E-06,1.00E-06,0
