rep,mes,mk1,mk2,mk3,mk4,mutr,muta,mut_sp1,mut_sp2
0,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.72634e-07,3.13621e-07
1,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.86688e-07,7.35221e-07
2,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.8644e-07,6.99831e-07
3,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.91548e-07,7.77595e-07
4,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.2558e-07,6.45365e-07
5,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.15598e-07,8.11652e-07
6,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.55568e-07,2.80126e-07
7,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.54355e-07,9.00898e-07
8,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.9423e-07,7.77501e-07
9,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.41483e-07,8.26077e-07
10,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.35916e-07,5.60029e-07
11,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.9567e-07,4.38592e-07
12,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.60994e-07,2.7156e-07
13,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.46372e-07,5.49927e-07
14,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.89096e-07,6.66031e-07
15,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.15712e-07,1.55749e-07
16,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.57942e-07,4.75388e-07
17,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.73791e-07,9.49758e-07
18,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.6997e-07,7.97123e-07
19,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.53648e-07,6.79241e-07
20,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.36817e-07,2.33677e-07
21,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.64409e-07,4.20506e-07
22,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.16657e-07,5.83192e-07
23,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.53259e-07,3.56195e-07
24,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.80989e-07,7.32109e-07
25,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.91286e-07,8.10311e-07
26,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.31147e-07,4.33616e-07
27,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.86469e-07,5.74254e-07
28,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.79795e-07,2.56966e-07
29,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.80378e-07,1.51534e-07
30,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.44232e-07,8.4747e-07
31,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.38647e-07,4.64925e-07
32,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.31897e-07,8.46145e-07
33,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.19738e-07,9.61135e-07
34,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.81354e-07,7.72363e-07
35,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.19713e-07,6.73448e-07
36,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.46407e-07,1.11358e-07
37,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.11706e-07,2.78321e-07
38,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.81274e-07,7.88243e-07
39,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.82998e-07,2.42716e-07
40,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.6153e-07,3.65949e-07
41,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.34478e-07,1.999e-07
42,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.67822e-07,3.00874e-07
43,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.32e-07,1.77658e-07
44,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.87676e-07,3.42671e-07
45,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.80453e-07,3.60006e-07
46,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.20034e-07,9.3577e-07
47,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.68267e-07,7.85753e-07
48,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.29504e-07,5.52107e-07
49,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.51418e-07,2.47731e-07
50,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.03518e-07,6.33207e-07
51,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.38394e-07,9.3891e-07
52,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.80918e-07,5.17869e-07
53,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.06656e-07,8.99069e-07
54,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.247e-07,1.3857e-07
55,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.13691e-07,2.35643e-07
56,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.04835e-07,6.24749e-07
57,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.04373e-07,6.96477e-07
58,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.93035e-07,4.51367e-07
59,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.73157e-07,5.4054e-07
60,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.29025e-07,8.72204e-07
61,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.13671e-07,6.50155e-07
62,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.54929e-07,6.53291e-07
63,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.31737e-07,1.49146e-07
64,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.43397e-07,6.59285e-07
65,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.6829e-07,6.65402e-07
66,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.0846e-07,3.71503e-07
67,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.64966e-07,9.586e-07
68,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.30791e-07,3.14318e-07
69,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.10504e-07,5.23757e-07
70,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.4842e-07,6.53051e-07
71,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.24441e-07,9.78204e-07
72,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.75163e-07,7.38321e-07
73,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.26228e-07,1.00264e-07
74,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.00764e-07,3.4592e-07
75,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.7689e-07,7.82422e-07
76,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.82709e-07,7.37944e-07
77,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.01507e-07,8.16303e-07
78,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.18506e-07,3.47827e-07
79,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.49288e-07,2.16017e-07
80,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.36604e-07,2.13653e-07
81,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,9.80416e-07,4.24041e-07
82,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.00065e-07,2.84929e-07
83,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,2.50314e-07,4.08621e-07
84,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.88976e-07,2.43598e-07
85,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.68737e-07,1.27575e-07
86,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.24716e-07,2.74362e-07
87,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,7.52096e-07,3.84755e-07
88,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,4.57556e-07,7.02309e-07
89,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.45563e-07,5.78781e-07
90,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,3.15568e-07,7.35423e-07
91,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.9982e-07,7.73854e-07
92,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,8.94142e-07,6.69616e-07
93,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.11108e-07,5.57254e-07
94,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,6.13595e-07,8.30855e-07
95,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.45495e-07,1.45339e-07
96,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,5.18828e-07,5.62874e-07
97,1,0.45,0.45,0.05,0.05,0.05,5.0e-06,1.32106e-07,1.0813e-07
