IDs,N10,N20,r1,r2,a11,a22,a12,a21,dist1,dist2,coexist,coexist1,coexist2
0,50,50,0.362611694,0.226216119,-0.000142848,-5.27E-05,-2.50E-05,-2.50E-05,4.352485888,1.973836576,TRUE,TRUE,TRUE
1,50,50,0.418874489,0.221001303,-0.000118799,-5.87E-05,-2.50E-05,-2.50E-05,1.90428812,2.473495953,TRUE,TRUE,TRUE
2,50,50,0.282954565,0.20011651,-0.000107601,-4.30E-05,-2.50E-05,-2.50E-05,2.238829013,1.687730776,TRUE,TRUE,TRUE
3,50,50,0.264473899,0.274302774,-0.000123383,-8.10E-05,-2.50E-05,-2.50E-05,3.203300281,4.350972083,TRUE,TRUE,TRUE
4,50,50,0.250451666,0.32852469,-0.000113325,-4.82E-05,-2.50E-05,-2.50E-05,2.746808033,1.036135868,TRUE,TRUE,TRUE
5,50,50,0.386514087,0.179252907,-0.00014506,-5.24E-05,-2.50E-05,-2.50E-05,4.497940167,2.305467049,TRUE,TRUE,TRUE
6,50,50,0.236856966,0.173217652,-0.000143688,-5.19E-05,-2.50E-05,-2.50E-05,4.964032112,2.324870386,TRUE,TRUE,TRUE
7,50,50,0.46351312,0.197370314,-0.000115351,-5.44E-05,-2.50E-05,-2.50E-05,1.428898253,2.296604587,TRUE,TRUE,TRUE
8,50,50,0.391763839,0.355074196,-0.000104548,-8.24E-05,-2.50E-05,-2.50E-05,1.108710787,4.399333064,TRUE,TRUE,TRUE
9,50,50,0.389599044,0.251155274,-0.000114398,-5.41E-05,-2.50E-05,-2.50E-05,1.687566811,1.919875141,TRUE,TRUE,TRUE
10,50,50,0.484913572,0.270251795,-0.000147189,-8.42E-05,-2.50E-05,-2.50E-05,4.571553217,4.667472533,TRUE,TRUE,TRUE
11,50,50,0.404534301,0.296615037,-0.000137557,-7.03E-05,-2.50E-05,-2.50E-05,3.726413734,3.254329802,TRUE,TRUE,TRUE
12,50,50,0.286235164,0.298459271,-0.000144194,-5.41E-05,-2.50E-05,-2.50E-05,4.767873276,1.697011564,TRUE,TRUE,TRUE
13,50,50,0.350032375,0.291351898,-0.000141272,-8.53E-05,-2.50E-05,-2.50E-05,4.245357443,4.74257876,TRUE,TRUE,TRUE
14,50,50,0.334930694,0.186550817,-0.000103642,-7.25E-05,-2.50E-05,-2.50E-05,1.648195628,3.838384561,TRUE,TRUE,TRUE
15,50,50,0.308919581,0.285151137,-0.000117914,-8.12E-05,-2.50E-05,-2.50E-05,2.506932885,4.349386239,TRUE,TRUE,TRUE
16,50,50,0.307948428,0.249080139,-0.000130351,-7.13E-05,-2.50E-05,-2.50E-05,3.457261169,3.473336408,TRUE,TRUE,TRUE
17,50,50,0.204821033,0.323203227,-0.00011253,-5.68E-05,-2.50E-05,-2.50E-05,3.135882372,1.881990757,TRUE,TRUE,FALSE
18,50,50,0.217071724,0.162345665,-0.000126483,-6.74E-05,-2.50E-05,-2.50E-05,3.762467915,3.523493788,TRUE,TRUE,FALSE
19,50,50,0.451846627,0.320245258,-0.000133886,-7.58E-05,-2.50E-05,-2.50E-05,3.272479824,3.762176826,TRUE,TRUE,TRUE
20,50,50,0.251208696,0.319021129,-0.000108553,-6.26E-05,-2.50E-05,-2.50E-05,2.570199607,2.452167633,TRUE,TRUE,TRUE
21,50,50,0.41086212,0.298635372,-0.000144853,-5.92E-05,-2.50E-05,-2.50E-05,4.423317342,2.175582141,TRUE,TRUE,TRUE
22,50,50,0.403373693,0.167903162,-0.000111164,-4.18E-05,-2.50E-05,-2.50E-05,1.355393137,1.97723536,TRUE,TRUE,TRUE
23,50,50,0.355636167,0.313701827,-0.000148303,-8.23E-05,-2.50E-05,-2.50E-05,4.893726948,4.41706845,TRUE,TRUE,TRUE
24,50,50,0.235720837,0.2442932,-0.000105187,-5.84E-05,-2.50E-05,-2.50E-05,2.652086459,2.320267763,TRUE,TRUE,FALSE
25,50,50,0.338550356,0.220556088,-0.000142946,-7.90E-05,-2.50E-05,-2.50E-05,4.442628632,4.294854633,TRUE,TRUE,TRUE
26,50,50,0.489423286,0.326942384,-0.000119456,-5.56E-05,-2.50E-05,-2.50E-05,1.798462206,1.750845032,TRUE,TRUE,TRUE
27,50,50,0.259160213,0.171729365,-0.000125874,-6.50E-05,-2.50E-05,-2.50E-05,3.415421582,3.275439154,TRUE,TRUE,TRUE
28,50,50,0.2540234,0.333594882,-0.000102638,-7.29E-05,-2.50E-05,-2.50E-05,2.445885111,3.461470914,TRUE,TRUE,TRUE
29,50,50,0.325828137,0.225081956,-0.000134048,-7.80E-05,-2.50E-05,-2.50E-05,3.684340284,4.184991232,TRUE,TRUE,TRUE
30,50,50,0.310392687,0.340182363,-0.000136581,-7.11E-05,-2.50E-05,-2.50E-05,3.98050263,3.269599908,TRUE,TRUE,TRUE
31,50,50,0.421682646,0.304285208,-0.000119422,-5.99E-05,-2.50E-05,-2.50E-05,1.94991656,2.225551552,TRUE,TRUE,TRUE
32,50,50,0.487878177,0.214902354,-0.000143379,-6.15E-05,-2.50E-05,-2.50E-05,4.189869132,2.73897599,TRUE,TRUE,TRUE
33,50,50,0.403959732,0.292666158,-0.000146823,-4.86E-05,-2.50E-05,-2.50E-05,4.630210358,1.235695294,TRUE,TRUE,TRUE
34,50,50,0.381325069,0.301054959,-0.000149058,-5.03E-05,-2.50E-05,-2.50E-05,4.898307841,1.341038562,TRUE,TRUE,TRUE
35,50,50,0.294294917,0.21409864,-0.000134231,-4.64E-05,-2.50E-05,-2.50E-05,3.857586215,1.68659809,TRUE,TRUE,TRUE
36,50,50,0.495416911,0.233222259,-0.000146449,-4.85E-05,-2.50E-05,-2.50E-05,4.495628737,1.638305177,TRUE,TRUE,TRUE
37,50,50,0.432608496,0.157881652,-0.000122355,-4.38E-05,-2.50E-05,-2.50E-05,2.187255599,2.117877645,TRUE,TRUE,TRUE
38,50,50,0.228965933,0.163149408,-0.000133582,-5.66E-05,-2.50E-05,-2.50E-05,4.189666207,2.695430172,TRUE,TRUE,FALSE
39,50,50,0.239854119,0.276651093,-0.000134881,-8.18E-05,-2.50E-05,-2.50E-05,4.222477913,4.420919048,TRUE,TRUE,TRUE
40,50,50,0.421589182,0.277871632,-0.000135689,-6.76E-05,-2.50E-05,-2.50E-05,3.504624209,3.040191241,TRUE,TRUE,TRUE
41,50,50,0.271807313,0.231018177,-0.000138268,-4.64E-05,-2.50E-05,-2.50E-05,4.319203847,1.539897066,TRUE,TRUE,TRUE
42,50,50,0.374210255,0.267175566,-0.000109502,-6.48E-05,-2.50E-05,-2.50E-05,1.477285803,2.807063202,TRUE,TRUE,TRUE
43,50,50,0.37130346,0.216616167,-0.000141819,-5.64E-05,-2.50E-05,-2.50E-05,4.227971027,2.315098064,TRUE,TRUE,TRUE
44,50,50,0.453585499,0.260100345,-0.000115318,-3.84E-05,-2.50E-05,-2.50E-05,1.453121776,1.025896862,TRUE,TRUE,TRUE
45,50,50,0.374504783,0.214978412,-0.000124958,-6.72E-05,-2.50E-05,-2.50E-05,2.653185369,3.234819634,TRUE,TRUE,TRUE
46,50,50,0.328780206,0.20245664,-0.000147461,-6.81E-05,-2.50E-05,-2.50E-05,4.899553285,3.37063453,TRUE,TRUE,TRUE
47,50,50,0.280200335,0.210352123,-0.000102338,-8.03E-05,-2.50E-05,-2.50E-05,2.183073672,4.454907008,TRUE,TRUE,TRUE
48,50,50,0.2587951,0.269978772,-0.000104185,-5.96E-05,-2.50E-05,-2.50E-05,2.410566731,2.307198502,TRUE,TRUE,TRUE
49,50,50,0.37425738,0.185739282,-0.000122143,-8.12E-05,-2.50E-05,-2.50E-05,2.409141372,4.627487413,TRUE,TRUE,TRUE
50,50,50,0.294490987,0.270025091,-0.00010538,-7.63E-05,-2.50E-05,-2.50E-05,2.075254566,3.897996902,TRUE,TRUE,TRUE
51,50,50,0.223010357,0.195415321,-0.000121968,-6.13E-05,-2.50E-05,-2.50E-05,3.431208781,2.829492354,TRUE,TRUE,FALSE
52,50,50,0.416417678,0.201576069,-0.000125368,-6.66E-05,-2.50E-05,-2.50E-05,2.524136999,3.24672157,TRUE,TRUE,TRUE
53,50,50,0.40919548,0.271788279,-0.000112349,-5.38E-05,-2.50E-05,-2.50E-05,1.404724772,1.789376072,TRUE,TRUE,TRUE
54,50,50,0.281227683,0.243098784,-0.000137014,-8.45E-05,-2.50E-05,-2.50E-05,4.163097734,4.762982841,TRUE,TRUE,TRUE
55,50,50,0.231746807,0.278633531,-0.000140112,-4.50E-05,-2.50E-05,-2.50E-05,4.692683887,1.064395802,TRUE,TRUE,FALSE
56,50,50,0.428590486,0.237687612,-0.000131452,-6.35E-05,-2.50E-05,-2.50E-05,3.076019137,2.80362221,TRUE,TRUE,TRUE
57,50,50,0.265826236,0.349084687,-0.000139577,-6.66E-05,-2.50E-05,-2.50E-05,4.462080426,2.824149543,TRUE,TRUE,TRUE
58,50,50,0.309806869,0.25708994,-0.00013407,-5.58E-05,-2.50E-05,-2.50E-05,3.763909776,2.033874385,TRUE,TRUE,TRUE
59,50,50,0.48724509,0.333491678,-0.000146866,-5.27E-05,-2.50E-05,-2.50E-05,4.53865935,1.452216118,TRUE,TRUE,TRUE
60,50,50,0.468909948,0.305083238,-0.000129655,-5.33E-05,-2.50E-05,-2.50E-05,2.831554726,1.595798014,TRUE,TRUE,TRUE
61,50,50,0.268899012,0.336402507,-0.000144451,-6.93E-05,-2.50E-05,-2.50E-05,4.870128945,3.098932953,TRUE,TRUE,TRUE
62,50,50,0.498212096,0.306064398,-0.000143359,-7.46E-05,-2.50E-05,-2.50E-05,4.18656598,3.661649423,TRUE,TRUE,TRUE
63,50,50,0.395747075,0.273397336,-0.000126705,-6.34E-05,-2.50E-05,-2.50E-05,2.721905806,2.653383807,TRUE,TRUE,TRUE
64,50,50,0.408094724,0.301347288,-0.000117729,-7.11E-05,-2.50E-05,-2.50E-05,1.857554806,3.326639983,TRUE,TRUE,TRUE
65,50,50,0.372011582,0.319931712,-0.000146086,-7.02E-05,-2.50E-05,-2.50E-05,4.634761471,3.202414318,TRUE,TRUE,TRUE
66,50,50,0.320072603,0.29813766,-0.000145184,-6.82E-05,-2.50E-05,-2.50E-05,4.718766626,3.044241481,TRUE,TRUE,TRUE
67,50,50,0.20858,0.264337909,-0.000136973,-4.91E-05,-2.50E-05,-2.50E-05,4.580868683,1.452483688,TRUE,TRUE,FALSE
68,50,50,0.29722294,0.29400503,-0.000101601,-8.49E-05,-2.50E-05,-2.50E-05,2.011239308,4.69363093,TRUE,TRUE,TRUE
69,50,50,0.455277917,0.26968995,-0.000150061,-8.04E-05,-2.50E-05,-2.50E-05,4.875842621,4.30111232,TRUE,TRUE,TRUE
70,50,50,0.353110361,0.218659963,-0.000132991,-7.61E-05,-2.50E-05,-2.50E-05,3.468493361,4.036822392,TRUE,TRUE,TRUE
71,50,50,0.297520736,0.153915972,-0.000130604,-4.14E-05,-2.50E-05,-2.50E-05,3.536569187,2.108243668,TRUE,TRUE,TRUE
72,50,50,0.339721028,0.225304581,-0.000126004,-7.48E-05,-2.50E-05,-2.50E-05,2.91958103,3.886544561,TRUE,TRUE,TRUE
73,50,50,0.360326691,0.286892007,-0.000108976,-7.50E-05,-2.50E-05,-2.50E-05,1.569951487,3.736402034,TRUE,TRUE,TRUE
74,50,50,0.488047927,0.278349821,-0.00014867,-7.71E-05,-2.50E-05,-2.50E-05,4.718767052,3.954228392,TRUE,TRUE,TRUE
