"mutation_kernel","rep","mes","tick_extinct","extinct"
"3767537",20,1,1,1602,TRUE
"3780056",45,1,1,1002,TRUE
"3782431",49,1,1,38102,TRUE
"3794754",74,1,1,17902,TRUE
"3805237",20,1,2,14102,TRUE
"3817645",45,1,2,2402,TRUE
"3832199",74,1,2,4902,TRUE
"3840371",15,1,3,20502,TRUE
"3850461",35,1,3,27502,TRUE
"3857680",49,1,3,48002,TRUE
"3869785",74,1,3,6002,TRUE
"3880314",20,1,4,6802,TRUE
"3902121",63,1,4,33202,TRUE
"3907425",74,1,4,12502,TRUE
"3938439",61,1,5,7702,TRUE
"3982491",74,1,6,4102,TRUE
"4005507",45,1,7,1102,TRUE
"4013615",61,1,7,10302,TRUE
"4014925",63,1,7,41102,TRUE
"4017869",69,1,7,34902,TRUE
"4057650",74,1,8,5002,TRUE
"4068131",20,1,9,1002,TRUE
"4078250",40,1,9,10902,TRUE
"4095294",74,1,9,11902,TRUE
"4103362",15,1,10,17102,TRUE
"4143303",20,1,11,3202,TRUE
"4151672",36,1,11,38502,TRUE
"4158173",49,1,11,37302,TRUE
"4168163",69,1,11,34302,TRUE
"4170380",74,1,11,5502,TRUE
"4195433",49,1,12,5802,TRUE
"4202772",63,1,12,38302,TRUE
"4218438",20,1,13,1702,TRUE
"4280952",69,1,14,40702,TRUE
"4291191",15,1,15,12502,TRUE
"4308183",49,1,15,8302,TRUE
"4320701",74,1,15,7602,TRUE
"4331209",20,1,16,6302,TRUE
"4339399",36,1,16,23702,TRUE
"4351946",61,1,16,25902,TRUE
"4353134",63,1,16,44502,TRUE
"4390148",62,1,17,38502,TRUE
"4396188",74,1,17,41302,TRUE
"4433402",74,1,18,5202,TRUE
"4451541",35,1,19,15502,TRUE
"4452385",36,1,19,49802,TRUE
"4464539",61,1,19,12702,TRUE
"4496334",49,1,20,35902,TRUE
"4502711",62,1,20,22302,TRUE
"4541048",63,1,21,48402,TRUE
"4546232",74,1,21,15702,TRUE
"4583664",74,1,22,1402,TRUE
"4594223",20,1,23,5202,TRUE
"4621298",74,1,23,7302,TRUE
"4639340",35,1,24,7902,TRUE
"4679388",40,1,25,4702,TRUE
"4704671",15,1,26,28002,TRUE
"4706922",20,1,26,2602,TRUE
"4734013",74,1,26,6302,TRUE
"4757003",45,1,27,702,TRUE
"4771578",74,1,27,5302,TRUE
"4782116",20,1,28,7002,TRUE
"4809302",74,1,28,20202,TRUE
"4846758",74,1,29,8302,TRUE
"4855182",15,1,30,49102,TRUE
"4857210",20,1,30,1402,TRUE
"4884303",74,1,30,5302,TRUE
"4922027",74,1,31,20202,TRUE
"4980031",40,1,33,9002,TRUE
"4982460",45,1,33,1402,TRUE
"4997027",74,1,33,5202,TRUE
"5005307",15,1,34,31602,TRUE
"5032400",69,1,34,35502,TRUE
"5060014",49,1,35,41402,TRUE
"5066416",62,1,35,30302,TRUE
"5072160",74,1,35,3502,TRUE
"5109727",74,1,36,2702,TRUE
"5117819",15,1,37,10302,TRUE
"5135067",49,1,37,31702,TRUE
"5141702",62,1,37,43902,TRUE
"5145017",69,1,37,24702,TRUE
"5147665",74,1,37,39002,TRUE
"5193146",15,1,39,28002,TRUE
"5195484",20,1,39,11302,TRUE
"5222657",74,1,39,23202,TRUE
"5260142",74,1,40,14202,TRUE
"5270569",20,1,41,4802,TRUE
"5308136",20,1,42,4002,TRUE
"5329937",63,1,42,29802,TRUE
"5345727",20,1,43,5602,TRUE
"5372752",74,1,43,2702,TRUE
"5404563",62,1,44,27502,TRUE
"5410354",74,1,44,5402,TRUE
"5448010",74,1,45,13502,TRUE
"5458592",20,1,46,19602,TRUE
"5480371",63,1,46,43202,TRUE
"5485496",74,1,46,4602,TRUE
"5508511",45,1,47,1502,TRUE
"5523044",74,1,47,1902,TRUE
"5533602",20,1,48,5602,TRUE
"5541244",35,1,48,18302,TRUE
"5571148",20,1,49,2702,TRUE
"5579603",36,1,49,46602,TRUE
"5596135",69,1,49,46502,TRUE
"5621238",45,1,50,1702,TRUE
"5704529",61,1,52,14202,TRUE
"5729859",36,1,53,42202,TRUE
"5786173",74,1,54,12302,TRUE
"5806649",40,1,55,5802,TRUE
"5817837",62,1,55,22402,TRUE
