"rep","mes","tick_extinct"
"12200",4,1,3502
"17225",6,1,1402
"52118",17,1,5402
"52137",18,1,902
"53241",20,1,8302
"68264",24,1,1002
"124996",39,1,12002
"165367",51,1,6002
"178960",55,1,802
"184006",57,1,3502
"222909",67,1,5602
"265979",79,1,5202
"271159",81,1,16902
"284023",85,1,1302
"311244",92,1,1402
"355843",4,2,3502
"360934",6,2,8002
"397692",17,2,4702
"407732",20,2,2802
"477313",39,2,25702
"479252",41,2,21102
"513485",51,2,4702
"522699",55,2,6802
"564584",67,2,5702
"596028",77,2,16102
"601046",79,2,702
"606083",81,2,2602
"618565",85,2,7902
"618804",86,2,22802
"618897",87,2,8302
"631033",92,2,1502
"677450",4,3,1802
"722095",17,3,2602
"722284",18,3,17902
"796257",38,3,7402
"848711",55,3,602
"894202",67,3,6302
"934083",79,3,10502
"939364",81,3,27002
"946192",85,3,1502
"946507",86,3,30502
"962665",92,3,602
"1008059",4,4,10302
"1013113",6,4,4302
"1045828",17,4,2102
"1051954",20,4,3902
"1062306",24,4,13002
"1112648",38,4,11802
"1112919",39,4,26102
"1118158",41,4,22802
"1159971",55,4,8002
"1165478",57,4,49602
"1202174",67,4,2302
"1244793",79,4,2602
"1249863",81,4,5902
"1260951",85,4,10102
"1265991",87,4,2902
"1281345",92,4,1002
"1327592",4,5,31102
"1328454",6,5,6502
"1366813",17,5,3002
"1366855",18,5,3202
"1371961",20,5,9502
"1478693",51,5,5902
"1534013",67,5,3402
"1576551",79,5,4702
"1588772",85,5,4402
"1588876",86,5,9402
"1608566",92,5,1802
"1640684",4,6,22602
"1682258",17,6,602
"1682314",18,6,4602
"1697511",24,6,3902
"1801553",51,6,11602
"1813670",55,6,5902
"1862218",67,6,1502
"1904148",79,6,4202
"1909229",81,6,7002
"1923461",85,6,6502
"1928545",87,6,7302
"1946435",92,6,702
"1989708",6,7,5502
"2023656",17,7,1602
"2043778",24,7,14702
"2114884",41,7,44602
"2135803",48,7,15002
"2158564",55,7,2502
"2163610",57,7,3502
"2202461",67,7,2902
"2240452",79,7,7002
"2258816",85,7,1302
"2258935",86,7,10902
"2259074",87,7,12902
"2324425",6,8,8202
"2345569",12,8,29802
"2358449",17,8,8402
"2362445",20,8,3002
"2384947",27,8,24302
"2420031",38,8,7002
"2428794",41,8,23302
"2466304",55,8,8402
"2467325",57,8,40802
"2504347",67,8,4002
"2539095",77,8,30202
"2539390",79,8,2202
"2544819",81,8,41802
"2554635",86,8,2802
"2554717",87,8,7202
"2568812",92,8,602
"2611793",3,9,21802
"2611855",4,9,5202
"2616898",6,9,3202
"2652807",17,9,1002
"2653071",18,9,25402
"2673397",24,9,7702
"2766050",48,9,10002
"2776232",51,9,17002
"2789097",55,9,2402
"2814169",61,9,5702
"2833642",67,9,1202
"2876613",79,9,3202
"2881723",81,9,9902
"2891157",85,9,4702
"2891220",86,9,5302
"2891289",87,9,5902
"2904384",92,9,1802
"2942518",4,10,11402
"2947559",6,10,3002
"2984032",17,10,1902
"2989628",20,10,10002
"3000300",24,10,31902
"3006633",27,10,1602
"3048996",38,10,28302
"3056461",41,10,13502
"3076458",48,10,7102
"3095453",55,10,1102
"3143783",67,10,602
"3179768",79,10,3202
"3184843",81,10,6402
"3198530",86,10,12602
"3198665",87,10,12502
"3208298",92,10,1702
"3249881",4,11,2802
"3254947",6,11,5502
"3291379",17,11,9202
"3291418",18,11,2902
"3314683",27,11,15302
"3353213",38,11,11302
"3353455",39,11,23202
"3408380",55,11,2702
"3457926",67,11,2302
"3504965",79,11,4102
"3510275",81,11,29902
"3520547",85,11,9802
"3520823",86,11,26602
"3520899",87,11,6602
"3532204",92,11,2402
"3582891",4,12,7602
"3628340",17,12,602
"3655078",24,12,4402
"3701751",38,12,9402
"3736673",51,12,4502
"3749387",55,12,1802
"3793376",67,12,3802
"3826694",77,12,16302
"3841831",81,12,12402
"3858422",86,12,7702
"3858507",87,12,7502
"3875490",92,12,4702
"3963028",17,13,1402
"3993255",28,13,6202
"4031704",38,13,11902
"4084239",55,13,1002
"4132830",67,13,2502
"4181351",79,13,7602
"4186420",81,13,5802
"4205808",87,13,2402
"4217566",92,13,2102
"4250466",4,14,3202
"4255516",6,14,3902
"4290946",17,14,902
"4299998",20,14,21202
"4405567",48,14,8402
"4413015",51,14,21902
"4423352",55,14,2002
"4465876",67,14,6202
"4512212",79,14,5102
"4517272",81,14,4902
"4530120",85,14,4502
"4530149",86,14,1902
"4542904",92,14,1202
"4589318",6,15,6402
"4629726",17,15,5602
"4637871",20,15,8702
"4649780",24,15,17002
"4656370",27,15,11002
"4703506",38,15,2302
"4713073",41,15,19902
"4757279",55,15,702
"4799852",67,15,10502
"4842715",79,15,1302
"4865872",85,15,3702
"4870964",87,15,8102
"4948784",6,16,18602
"4992012",17,16,9002
"5025753",27,16,48702
"5062721",38,16,7402
"5100860",51,16,1402
"5108459",55,16,2402
"5155660",67,16,4402
"5200537",79,16,3102
"5219133",85,16,1802
"5219176",86,16,3302
"5219234",87,16,4802
"5232863",92,16,2102
"5346540",24,17,7102
"5395409",38,17,13702
"5403329",41,17,11702
"5422245",48,17,6202
"5429647",51,17,4602
"5438791",55,17,6902
"5443967",57,17,16502
"5457731",61,17,3302
"5478797",67,17,1002
"5522999",79,17,6502
"5528077",81,17,6702
"5542123",85,17,1802
"5542142",86,17,902
"5542186",87,17,3402
"5559562",92,17,2802
"5578248",98,17,39902
"5600108",4,18,23402
"5605119",6,18,3802
"5646754",17,18,3202
"5654284",20,18,2502
"5664302",24,18,4702
"5677448",28,18,7902
"5703439",38,18,11202
"5703920",39,18,47102
"5709131",41,18,20002
"5726533",48,18,41302
"5748125",55,18,2902
"5794160",67,18,3702
"5826882",77,18,24202
"5832018",79,18,12502
"5835685",81,18,8902
"5841286",85,18,9802
"5846333",87,18,3602
"5858896",92,18,402
"5895289",4,19,1802
"5935031",17,19,2402
"5935103",18,19,6202
"5938739",20,19,1802
"6008877",38,19,5902
"6014540",41,19,31002
"6042375",48,19,5002
"6048875",51,19,18102
"6113561",67,19,1002
"6157513",79,19,5902
"6162719",81,19,19502
"6171418",85,19,4102
"6171442",86,19,1402
"6190511",92,19,402
"6237056",4,20,2802
"6242124",6,20,5702
"6277407",17,20,1702
"6277454",18,20,3702
"6281095",20,20,7802
"6296413",24,20,30502
"6348736",38,20,12602
"6383918",48,20,5602
"6402918",55,20,3602
"6446944",67,20,5502
"6486459",79,20,5602
"6504219",85,20,6202
"6509335",87,20,10502
"6550113",98,20,15402
"6568300",4,21,6702
"6573406",6,21,9502
"6605878",17,21,702
"6605912",18,21,2402
"6610956",20,21,3302
"6634792",27,21,13702
"6741120",55,21,5202
"6763650",61,21,6302
"6785220",67,21,6802
"6822947",79,21,1802
"6841111",85,21,14302
"6841154",86,21,3202
"6841215",87,21,5102
"6851522",90,21,29502
"6854619",92,21,2102
"6887726",4,22,1702
"6931403",17,22,1102
"6959131",28,22,15802
"6987876",38,22,5302
"6987961",39,22,7502
"7028199",51,22,8102
"7040121",55,22,4402
"7045604",57,22,47202
"7084352",67,22,1802
"7113929",79,22,902
"7140458",87,22,4202
"7158736",92,22,1602
"7200436",4,23,24602
"7205475",6,23,2802
"7240183",17,23,3102
"7246366",20,23,7602
"7266825",27,23,22902
"7327587",41,23,46702
"7354038",48,23,8302
