"mutation_kernel","rep","mes","time","distance"
"1","10",2,1,50002,2.25057483810899
"2","10",2,2,50002,2.35178405888239
"3","10",2,3,50002,1.97767041467048
"4","10",2,4,50002,1.28448963839578
"5","10",2,5,50002,2.25393120759892
"6","10",2,6,50002,1.92010549950307
"7","10",2,7,50002,2.27724738663056
"8","10",2,8,50002,2.35067844357767
"9","10",2,9,50002,2.39061686746595
"10","10",2,10,50002,1.90598024260041
"11","10",2,11,50002,2.39110473683558
"12","10",2,12,50002,2.38926717126895
"13","10",2,13,50002,2.00691327472383
"14","10",2,14,50002,1.95688399881238
"15","10",2,15,50002,2.18024988186568
"16","10",2,16,50002,2.45517244303074
"17","10",2,17,50002,2.39740749381225
"18","10",2,18,50002,2.35353970226944
"19","10",2,19,50002,2.28922436705364
"20","10",2,20,50002,2.36913094304484
"21","10",2,21,50002,2.39045017741695
"22","10",2,22,50002,2.46777232102058
"23","10",2,23,50002,2.18082990373186
"24","10",2,24,50002,2.41551168985164
"25","10",2,25,50002,2.36180751407377
"26","10",2,26,50002,2.4392413036657
"27","10",2,27,50002,2.42118183932342
"28","10",2,28,50002,2.43931285522664
"29","10",2,29,50002,2.39173078695737
"30","10",2,30,50002,2.40678948141837
"31","10",2,31,50002,1.84804006595705
"32","10",2,32,50002,2.24476532582409
"33","10",2,33,50002,2.10754134158372
"34","10",2,34,50002,2.39382071025817
"35","10",2,35,50002,2.38281158694197
"36","10",2,36,50002,2.29246228976385
"37","10",2,37,50002,2.20173538313034
"38","10",2,38,50002,1.77179955292587
"39","10",2,39,50002,2.36288365606327
"40","10",2,40,50002,2.39749924020499
"41","10",2,41,50002,2.36433338883566
"42","10",2,42,50002,2.3912479417059
"43","10",2,43,50002,2.38953103048814
"44","10",2,44,50002,2.26156969454437
"45","10",2,45,50002,2.46533926886121
"46","10",2,46,50002,1.67752319790777
"47","10",2,47,50002,2.39038435854833
"48","10",2,48,50002,2.38339704766477
"49","10",2,49,50002,2.39488536066191
"50","10",2,50,50002,1.54569565669873
"51","10",2,51,50002,2.3458131150496
"52","10",2,52,50002,2.09224957670268
"53","10",2,53,50002,2.0981470806744
"54","10",2,54,50002,2.38644297354245
"55","10",2,55,50002,2.43736262275159
"56","10",2,56,50002,2.31333930136474
"57","10",2,57,50002,2.49766848455305
"58","10",2,58,50002,2.06927229143337
"59","10",2,59,50002,2.12470292358563
"60","10",2,60,50002,2.25984463554336
"61","10",2,61,50002,1.78986617708501
"62","10",2,62,50002,2.32753258160987
"63","10",2,63,50002,2.08351144661697
"64","10",2,64,50002,2.01772791047245
"65","10",2,65,50002,2.2367808398028
"66","10",2,66,50002,2.16721197299224
"67","10",2,67,50002,2.18669943112041
"68","10",2,68,50002,1.63543825690324
"69","10",2,69,50002,2.29691696355278
"70","10",2,70,50002,2.42106566626957
"71","10",2,71,50002,2.26335447895771
"72","10",2,72,50002,2.22405086299966
"73","10",2,73,50002,1.95547868752311
"74","10",2,74,50002,2.42780674787198
"75","10",2,75,50002,2.31269668016014
"76","10",2,76,50002,2.42801873164103
"77","10",2,77,50002,2.00128964820781
"78","10",2,78,50002,2.13043675504243
"79","10",2,79,50002,2.09754195454139
"80","10",2,80,50002,2.05408301911571
"81","10",2,81,50002,2.40519844383218
"82","10",2,82,50002,1.83480764266005
"83","10",2,83,50002,2.42640162542831
"84","10",2,84,50002,2.29868295024419
"85","10",2,85,50002,2.3384675637371
"86","10",2,86,50002,2.20749785855256
"87","10",2,87,50002,2.38891617669782
"88","10",2,88,50002,2.38731405576119
"89","10",2,89,50002,2.38967853803019
"90","10",2,90,50002,2.40654487904076
"91","10",2,91,50002,2.35413507983708
"92","10",2,92,50002,2.34461262499205
"93","10",2,93,50002,2.36936801085866
"94","10",2,94,50002,2.31568273713376
"95","10",2,95,50002,2.39250898170124
"96","10",2,96,50002,2.15806733700112
"97","10",2,97,50002,2.36917156027978
"98","10",2,98,50002,2.25844930613718
"99","10",2,99,50002,1.91586219633848
"100","10",2,100,50002,2.34647070904892
"101","11",2,1,50002,2.48171645778165
"102","11",2,2,50002,2.40971976786948
"103","11",2,3,50002,2.41070808862946
"104","11",2,4,50002,2.44713430285563
"105","11",2,5,50002,2.44318268713429
"106","11",2,6,50002,2.34543514656256
"107","11",2,7,50002,2.44887293461195
"108","11",2,8,50002,2.48110213296686
"109","11",2,9,50002,2.49957134968397
"110","11",2,10,50002,2.49945660020288
"111","11",2,11,50002,2.42482430075573
"112","11",2,12,50002,2.35464164267961
"113","11",2,13,50002,2.4730667359804
"114","11",2,14,50002,2.49937639012221
"115","11",2,15,50002,2.47098642048327
"116","11",2,16,50002,2.49850993580701
"117","11",2,17,50002,2.46518866142685
"118","11",2,18,50002,2.49954358896034
"119","11",2,19,50002,2.4996079155565
"120","11",2,20,50002,2.49269043098968
"121","11",2,21,50002,2.49858643269252
"122","11",2,22,50002,2.42875206262112
"123","11",2,23,50002,2.49928938000639
"124","11",2,24,50002,2.39053710785341
"125","11",2,25,50002,2.39931554443227
"126","11",2,26,50002,2.4994120669895
"127","11",2,27,50002,2.36441331694768
"128","11",2,28,50002,2.47116007372289
"129","11",2,29,50002,2.25701451984265
"130","11",2,30,50002,2.49870117843217
"131","11",2,31,50002,2.49881592466543
"132","11",2,32,50002,2.49930690276579
"133","11",2,33,50002,2.4952685821953
"134","11",2,34,50002,2.34305747168897
"135","11",2,35,50002,2.46094056169846
"136","11",2,36,50002,2.36599963178681
"137","11",2,37,50002,2.41640391565585
"138","11",2,38,50002,2.48018508799499
"139","11",2,39,50002,2.49861511908115
"140","11",2,40,50002,2.40697783026428
"141","11",2,41,50002,2.49952604841652
"142","11",2,42,50002,2.33549640288996
"143","11",2,43,50002,2.46827433911077
"144","11",2,44,50002,2.46711502046089
"145","11",2,45,50002,2.37806645123796
"146","11",2,46,50002,2.49179230254304
"147","11",2,47,50002,2.46522491973737
"148","11",2,48,50002,2.49944703776838
"149","11",2,49,50002,2.45620316183444
"150","11",2,50,50002,2.47618995000358
"151","11",2,51,50002,2.49828044646711
"152","11",2,52,50002,2.49916230858712
"153","11",2,53,50002,2.42511294514934
"154","11",2,54,50002,2.49935141361176
"155","11",2,55,50002,2.49945660020288
"156","11",2,56,50002,2.46593163096602
"157","11",2,57,50002,2.49945005461456
"158","11",2,58,50002,2.49886373574161
"159","11",2,59,50002,2.43571299211043
"160","11",2,60,50002,2.44954021583903
"161","11",2,61,50002,2.45028276884386
"162","11",2,62,50002,2.47809027381969
"163","11",2,63,50002,2.41736357589377
"164","11",2,64,50002,2.49853862211336
"165","11",2,65,50002,2.49190813368245
"166","11",2,66,50002,2.18821603154888
"167","11",2,67,50002,2.4926203361019
"168","11",2,68,50002,2.23504891875331
"169","11",2,69,50002,2.47545775318148
"170","11",2,70,50002,2.42128303957884
"171","11",2,71,50002,2.49961376430694
"172","11",2,72,50002,2.45426008829804
"173","11",2,73,50002,2.19789804869223
"174","11",2,74,50002,2.49851386208136
"175","11",2,75,50002,2.49938010082279
"176","11",2,76,50002,2.38229693893875
"177","11",2,77,50002,2.49796490185033
"178","11",2,78,50002,2.49901673176114
"179","11",2,79,50002,2.30373958508507
"180","11",2,80,50002,2.40554498636752
"181","11",2,81,50002,2.41987656933504
"182","11",2,82,50002,2.49940878806463
"183","11",2,83,50002,2.49833781861691
"184","11",2,84,50002,2.49916972865784
"185","11",2,85,50002,2.46122984643948
"186","11",2,86,50002,2.46810490042719
"187","11",2,87,50002,2.41160943677257
"188","11",2,88,50002,2.49942712793218
"189","11",2,89,50002,2.43179866278525
"190","11",2,90,50002,2.45353649840648
"191","11",2,91,50002,2.42547191469024
"192","11",2,92,50002,2.39260427923481
"193","11",2,93,50002,2.43955479403778
"194","11",2,94,50002,2.49886048404322
"195","11",2,95,50002,2.49647328698997
"196","11",2,96,50002,2.46897863899851
"197","11",2,97,50002,2.42007549359782
"198","11",2,98,50002,2.49806344840601
"199","11",2,99,50002,2.46597612809344
"200","11",2,100,50002,2.4991888533316
"201","12",2,1,50002,2.49964784961197
"202","12",2,2,50002,2.47699573942159
"203","12",2,3,50002,2.49913147935144
"204","12",2,4,50002,2.49864673218659
"205","12",2,5,50002,2.49968103545487
"206","12",2,6,50002,2.49925141854771
"207","12",2,7,50002,2.49969566217824
"208","12",2,8,50002,2.49962546224684
"209","12",2,9,50002,2.49186857460676
"210","12",2,10,50002,2.49969566217824
"211","12",2,11,50002,2.49736250886697
"212","12",2,12,50002,2.49969273676041
"213","12",2,13,50002,2.49966640964604
"214","12",2,14,50002,2.49966933473464
"215","12",2,15,50002,2.40279913723759
"216","12",2,16,50002,2.49969566217824
"217","12",2,17,50002,2.49961376430694
"218","12",2,18,50002,2.49968609965814
"219","12",2,19,50002,2.47691971937177
"220","12",2,20,50002,2.49968609965814
"221","12",2,21,50002,2.49964301025421
"222","12",2,22,50002,2.49967653714146
"223","12",2,23,50002,2.49963828710898
"224","12",2,24,50002,2.49969566217824
"225","12",2,25,50002,2.49962838682327
"226","12",2,26,50002,2.49963828710898
"227","12",2,27,50002,2.49969566217824
"228","12",2,28,50002,2.49701950124005
"229","12",2,29,50002,2.48879136871951
"230","12",2,30,50002,2.48921229683463
"231","12",2,31,50002,2.49966640964604
"232","12",2,32,50002,2.49969566217824
"233","12",2,33,50002,2.49966933473464
"234","12",2,34,50002,2.49968609965814
"235","12",2,35,50002,2.49898804494066
"236","12",2,36,50002,2.48679191169002
"237","12",2,37,50002,2.49969195062594
"238","12",2,38,50002,2.49943747533731
"239","12",2,39,50002,2.49969273676041
"240","12",2,40,50002,2.49937053841569
"241","12",2,41,50002,2.49938284994771
"242","12",2,42,50002,2.49952922452752
"243","12",2,43,50002,2.49963086450858
"244","12",2,44,50002,2.48535575333044
"245","12",2,45,50002,2.49969273676041
"246","12",2,46,50002,2.4994304246014
"247","12",2,47,50002,2.49968609965814
"248","12",2,48,50002,2.49960003713129
"249","12",2,49,50002,2.49969566217824
"250","12",2,50,50002,2.49944703776838
"251","12",2,51,50002,2.49969566217824
"252","12",2,52,50002,2.49864380550064
"253","12",2,53,50002,2.47113526826221
"254","12",2,54,50002,2.49969566217824
"255","12",2,55,50002,2.49969566217824
"256","12",2,56,50002,2.49968609965814
"257","12",2,57,50002,2.49958811902528
"258","12",2,58,50002,2.49966933473464
"259","12",2,59,50002,2.49965178475177
"260","12",2,60,50002,2.49957427528388
"261","12",2,61,50002,2.39126483288922
"262","12",2,62,50002,2.49787884487593
"263","12",2,63,50002,2.49785972114159
"264","12",2,64,50002,2.49828044646711
"265","12",2,65,50002,2.4996691143346
"266","12",2,66,50002,2.30648345900705
"267","12",2,67,50002,2.49952353734025
"268","12",2,68,50002,2.48752535957424
"269","12",2,69,50002,2.47553499472238
"270","12",2,70,50002,2.49968688603447
"271","12",2,71,50002,2.49956113082131
"272","12",2,72,50002,2.49966055957859
"273","12",2,73,50002,2.4996669746282
"274","12",2,74,50002,2.49599815278868
"275","12",2,75,50002,2.48878579918255
"276","12",2,76,50002,2.45489875447293
"277","12",2,77,50002,2.49961376430694
"278","12",2,78,50002,2.49934185121494
"279","12",2,79,50002,2.49967225985983
"280","12",2,80,50002,2.4059397185794
"281","12",2,81,50002,2.49959329432064
"282","12",2,82,50002,2.49803183524477
"283","12",2,83,50002,2.49969566217824
"284","12",2,84,50002,2.49969566217824
"285","12",2,85,50002,2.49969566217824
"286","12",2,86,50002,2.49328954298347
"287","12",2,87,50002,2.49955235972618
"288","12",2,88,50002,2.49954302570988
"289","12",2,89,50002,2.42157513340237
"290","12",2,90,50002,2.499566978401
"291","12",2,91,50002,2.49963165014218
"292","12",2,92,50002,2.49969566217824
"293","12",2,93,50002,2.49969566217824
"294","12",2,94,50002,2.49962872460942
"295","12",2,95,50002,2.44665975448421
"296","12",2,96,50002,2.45603789408863
"297","12",2,97,50002,2.46658629420698
"298","12",2,98,50002,2.49968981137915
"299","12",2,99,50002,2.49957134968397
"300","12",2,100,50002,2.49969566217824
"301","13",2,1,50002,2.49969566217824
"302","13",2,2,50002,2.47699573942159
"303","13",2,3,50002,2.49963828710898
"304","13",2,4,50002,2.49969566217824
"305","13",2,5,50002,2.49969566217824
"306","13",2,6,50002,2.49925141854771
"307","13",2,7,50002,2.49969566217824
"308","13",2,8,50002,2.49962546224684
"309","13",2,9,50002,2.49969566217824
"310","13",2,10,50002,2.49969566217824
"311","13",2,11,50002,2.49968688603447
"312","13",2,12,50002,2.49969566217824
"313","13",2,13,50002,2.49969566217824
"314","13",2,14,50002,2.49969566217824
"315","13",2,15,50002,2.49964784961197
"316","13",2,16,50002,2.49969566217824
"317","13",2,17,50002,2.49969566217824
"318","13",2,18,50002,2.49969566217824
"319","13",2,19,50002,2.47691971937177
"320","13",2,20,50002,2.49969566217824
"321","13",2,21,50002,2.49964301025421
"322","13",2,22,50002,2.49969273676041
"323","13",2,23,50002,2.49963828710898
"324","13",2,24,50002,2.49969566217824
"325","13",2,25,50002,2.49962838682327
"326","13",2,26,50002,2.49963828710898
"327","13",2,27,50002,2.49969566217824
