C1,C2,C3,C4,r1_sing,r2_sing,a1_sing,a2_sing,r1,r2,a11,a22,a12,a21,N1_equilibrium,N2_equilibrium,outcome_single,outcome_pair
-2.06e-05,3.2,-1e-06,0.5,[0.3125],[2.],[-5.59966057e-05],[-2.71828183e-06],18.706472059721012,1.9999999998747964,-2.0466496846690472e+21,-2.718281828288876e-06,-2.5e-05,-2.5e-05,1.5268856389530477e-22,735758.8823428847,False,True
-2.06e-05,3.2,-1e-06,0.5918367346938775,[0.3125],[1.68965517],[-5.59966057e-05],[-2.71828183e-06],15.852235015326949,1.6896551721792443,-2.20998556973954e+17,-2.718281828081708e-06,-2.5e-05,-2.5e-05,1.4140363837904827e-18,621589.4006000233,False,True
-2.06e-05,3.2,-1e-06,0.6836734693877551,[0.3125],[1.46268657],[-5.59966057e-05],[-2.71828183e-06],13.76480792357349,1.4626865669811995,-277589875753197.5,-2.7182818281189925e-06,-2.5e-05,-2.5e-05,1.1257615188314405e-15,538092.3169373336,False,True
-2.06e-05,3.2,-1e-06,0.7755102040816326,[0.3125],[1.28947368],[-5.59966057e-05],[-2.71828183e-06],12.171771458776036,1.2894736842913008,-1696263803831.7986,-2.7182818286293222e-06,-2.5e-05,-2.5e-05,1.8422841969148594e-13,474370.8583526494,False,True
-2.06e-05,3.2,-1e-06,0.8673469387755102,[0.3125],[1.15294118],[-5.59966057e-05],[-2.71828183e-06],1.0197518065435256,0.0438757877270656,-0.0005383435131762705,-1.0387889154034793e-06,-2.5e-05,-2.5e-05,571.4629684951677,28484.33697734786,False,False
-2.06e-05,3.2,-1e-06,0.9591836734693877,[0.3125],[1.04255319],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,1.0510204081632653,[0.3125],[0.95145631],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,1.1428571428571428,[0.3125],[0.875],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,1.2346938775510203,[0.3125],[0.80991736],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,1.3265306122448979,[0.3125],[0.75384615],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,1.4183673469387754,[0.3125],[0.70503597],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,1.5102040816326532,[0.3125],[0.66216216],[-5.59966057e-05],[-2.71828183e-06],6.4023961500861155,0.6621621626632057,-16276.02097953748,-2.7182818305159094e-06,-2.5e-05,-2.5e-05,1.9200024401928502e-05,243595.84600450782,False,True
-2.06e-05,3.2,-1e-06,1.6020408163265307,[0.3125],[0.62420382],[-5.59966057e-05],[-2.71828183e-06],6.053293813851781,0.6242038230990504,-5325.813357771086,-2.718281834743017e-06,-2.5e-05,-2.5e-05,5.867648360025679e-05,229631.75254825986,False,True
-2.06e-05,3.2,-1e-06,1.6938775510204083,[0.3125],[0.59036145],[-5.59966057e-05],[-2.71828183e-06],5.74204593234176,0.5903614497623045,-1967.1233011991894,-2.71828184678089e-06,-2.5e-05,-2.5e-05,0.00015886141940407196,217181.8373028173,False,True
-2.06e-05,3.2,-1e-06,1.7857142857142858,[0.3125],[0.56],[-5.59966057e-05],[-2.71828183e-06],5.462812086943792,0.5600000097247292,-804.949221101049,-2.7182818756636074e-06,-2.5e-05,-2.5e-05,0.00038822324640334417,206012.48348552396,False,True
-2.06e-05,3.2,-1e-06,1.8775510204081634,[0.3125],[0.5326087],[-5.59966057e-05],[-2.71828183e-06],5.210894532966155,0.5326087174177776,-359.4744211052174,-2.7182819395444377e-06,-2.5e-05,-2.5e-05,0.0008693247182796097,195935.78132440546,False,True
-2.06e-05,3.2,-1e-06,1.969387755102041,[0.3125],[0.50777202],[-5.59966057e-05],[-2.71828183e-06],1.0352231108934673,0.04542028713057911,-0.000565666697262737,-1.0935728253406354e-06,-2.5e-05,-2.5e-05,533.4537803260067,29338.642913365584,False,False
-2.06e-05,3.2,-1e-06,2.0612244897959187,[0.3125],[0.48514851],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,2.1530612244897958,[0.3125],[0.46445498],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,2.2448979591836737,[0.3125],[0.44545455],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,2.336734693877551,[0.3125],[0.4279476],[-5.59966057e-05],[-2.71828183e-06],4.248323732264047,0.42794807122269213,-16.51743452730855,-2.71828483271678e-06,-2.5e-05,-2.5e-05,0.018919402972671556,157432.9492946871,False,True
-2.06e-05,3.2,-1e-06,2.428571428571429,[0.3125],[0.41176471],[-5.59966057e-05],[-2.71828183e-06],4.099487243529907,0.4117654674144726,-10.258839222431286,-2.7182868557496493e-06,-2.5e-05,-2.5e-05,0.030461535974272463,151479.48974006157,False,True
-2.06e-05,3.2,-1e-06,2.5204081632653064,[0.3125],[0.39676113],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,2.612244897959184,[0.3125],[0.3828125],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,2.7040816326530615,[0.3125],[0.36981132],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,2.795918367346939,[0.3125],[0.35766423],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,2.8877551020408165,[0.3125],[0.34628975],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,2.979591836734694,[0.3125],[0.33561644],[-5.59966057e-05],[-2.71828183e-06],0.0,0.0,-2.06e-05,-1e-06,-2.5e-05,-2.5e-05,-0.0,-0.0,False,False
-2.06e-05,3.2,-1e-06,3.0714285714285716,[0.3125],[0.3255814],[-5.59966057e-05],[-2.71828183e-06],3.3067790338021825,0.3255910192673381,-0.8117794621870597,-2.7183621798237076e-06,-2.5e-05,-2.5e-05,0.38495676927341804,119771.16138704556,False,True
